id,data_reclamacao,canal,texto_reclamacao,produto,status,categoria_oculta_gabarito
REC-2026-00011,2026-01-06,Ouvidoria,"Ouvidoria, pelo amor de Deus, ou de quem quer que ainda se importe por aí!

Vim aqui de novo, porque a paciência que eu achei que tinha guardado pra aposentadoria já evaporou. É sobre o meu cartão de crédito, aquele que a empresa X me deu com tanta promessa de ""facilidade"" e ""conveniência"". Conveniência de pagar o que não devo, só se for!

A história é a mesma de sempre, mas parece que pra vocês ela é inédita a cada mês. Em janeiro, pra minha surpresa (ou não, vindo de vocês), apareceu na fatura uma tal de ""Tarifa de Serviços Premium"" no valor de R$ 29,90. Premium? Eu mal consigo pagar o básico, quem dirá serviços premium que eu nem sei o que são e, mais importante, NUNCA contratei! Achei que era um engano, um erro de sistema, sabe? A gente ainda tem esperança.

Liguei pra central de atendimento. Ah, a central de atendimento! Um paraíso de eficiência, com certeza. Fiquei uns 40 minutos na espera, ouvindo musiquinha desafinada e um robô que mais parecia estar me testando a sanidade. Quando finalmente consegui falar com um ser humano – que se chamava ""Atendente Virtual Plus Ultra Mega Giga"" ou algo assim –, expliquei a situação. A moça, com uma voz tão entediada que dava pra sentir o bocejo dela pelo telefone, disse que ia abrir uma contestação e que a cobrança seria estornada na próxima fatura. Fiquei aliviado. Que bobo eu fui.

Chegou a fatura de fevereiro. E lá estava ela, a minha velha amiga ""Tarifa de Serviços Premium"", sorrindo pra mim como um presente indesejado! E, pra adicionar uma pitada de emoção, o estorno prometido da fatura anterior? Sumido, evaporado, deve ter ido fazer companhia pra minha paciência. Liguei de novo. Mais 50 minutos na espera. Mais um atendente prometendo mundos e fundos, dizendo que ia ""agilizar"" o processo. Agilizar, pra vocês, deve significar deixar parado por mais tempo.

Agora, chegou a fatura de março. E adivinhem só? A ""Tarifa de Serviços Premium"" marcou presença novamente! Eu já estou esperando ela aparecer no meu extrato de imposto de renda, de tão fiel que ela é! Quer dizer, eu estou pagando por TRÊS meses uma coisa que eu não pedi, que me prometeram tirar e que continua lá, debochando da minha cara. É uma dedicação à cobrança indevida que merece um prêmio, de verdade. Talvez seja a ""Taxa de Inovação em Insistência de Cobrança Indevida"".

Olha, eu sou um trabalhador, meu CPF é 123.456.789-00, e eu me mato de trabalhar pra conseguir pagar minhas contas. Não pra financiar ""serviços premium"" imaginários de vocês. Vocês acham que eu imprimo dinheiro em casa? Ou que eu sou um colecionador de cobranças absurdas? Porque se for pra ser assim, me avisem, que eu troco de hobby.

Eu só quero que parem de me cobrar essa porcaria e estornem o que já me roubaram. Não é pedir muito, é? É o mínimo da decência. Mas pelo visto, decência é um serviço premium que vocês não oferecem pra clientes simples como eu. Se não resolverem isso aqui, acho que vou ter que começar a vender meu tempo de espera no telefone pra vocês, já que é o que mais gasto sendo cliente de vocês.

Aguardo uma solução de verdade, e não mais promessas vazias. Ou quem sabe na próxima fatura, além da tarifa, venha cobrando também a minha indignação.",Cartão de Crédito,Aberta,Cobrança Indevida
REC-2026-00012,2026-05-04,Redes Sociais,"É um absurdo a falta de segurança nos empréstimos de vocês! Tô indignado com essa palhaçada de golpe, exijo uma explicação AGORA!",Empréstimo,Resolvida,Fraude/Segurança
REC-2026-00013,2026-05-31,Ouvidoria,"Tô com uma cobrança indevida no meu empréstimo e preciso que resolvam isso urgente. Já paguei tudo certinho e agora apareceu um valor que eu não reconheço, maior erro. Tô perdendo a paciência, quero que tirem essa cobrança falsa da minha conta agora.",Empréstimo,Em análise,Cobrança Indevida
REC-2026-00014,2026-08-31,Banco Central,"Estou absolutamente chocado e ultrajado com a cobrança indevida que o Bradesco lançou na minha conta! Depois de anos como um cliente VIP, com um volume de movimentação que daria inveja a muita agência, ser tratado com essa falta de respeito e competência é um insulto pessoal. O Banco Central precisa resolver essa aberração *agora*, porque se eu tiver que acionar meu time jurídico, a dor de cabeça para o Bradesco e para quem permitiu isso será algo sem precedentes. É o cúmulo da incompetência e descaso!",,Em análise,Cobrança Indevida
REC-2026-00015,2026-12-26,Redes Sociais,"URGENTE E INADMISSÍVEL: FALHA DE SEGURANÇA CRÍTICA E FRAUDE NA CONTA CORRENTE DE MEU CLIENTE

É com a mais profunda indignação e um senso de urgência que dirijo esta reclamação a este canal, dada a flagrante e inaceitável falha nos protocolos de segurança da sua instituição que resultou em uma fraude explícita na conta corrente de meu cliente. A situação é tão revoltante quanto a morosidade e a ineficácia com que tem sido tratada até o momento.

Na última [Data inventada, ex: terça-feira, 14 de maio], o titular da conta, [Nome Fictício do Cliente, ex: Sr. Roberto Silva], foi vítima de uma sofisticada operação de phishing que culminou no acesso indevido à sua conta corrente. Embora meu cliente tenha sempre adotado as melhores práticas de segurança e jamais compartilhado suas credenciais, a vulnerabilidade do sistema de autenticação e a falta de filtros robustos por parte do [Nome da Instituição Financeira, ex: Banco Ágil] permitiram que criminosos efetuassem uma série de transações fraudulentas, esvaziando parte significativa de seu saldo. A sequência dos fatos é estarrecedora: um SMS falso, forjando-se como uma comunicação legítima do banco, direcionou o Sr. Silva a um site espelho que, de forma ardilosa, coletou dados de acesso. O que é absolutamente incompreensível é como a segurança transacional da sua plataforma não detectou um padrão de uso atípico e completamente dissonante do histórico do cliente, permitindo múltiplas transferências para contas desconhecidas em um curtíssimo espaço de tempo.

Meu cliente, ao perceber a anomalia através de notificações tardias, agiu com a máxima celeridade, entrando em contato imediato com a central de atendimento telefônico de sua instituição em [Hora aproximada, ex: menos de 10 minutos após a última transação suspeita]. A expectativa era de um bloqueio imediato das transações e uma resposta proativa para a recuperação dos valores. O que ele encontrou, contudo, foi um labirinto burocrático, atendentes que pareciam despreparados para lidar com a gravidade da situação e a promessa vaga de uma análise que, até agora, não produziu resultados concretos. É um escárnio com a boa-fé e a confiança depositada por anos em sua instituição. A cada minuto que passa sem uma resolução efetiva, a raiva e a frustração de meu cliente só aumentam, e a responsabilidade recai inteiramente sobre a inoperância do [Nome da Instituição Financeira, ex: Banco Ágil].

Exijo, de forma categórica e irrenunciável, a imediata reversão de todas as transações fraudulentas identificadas e a integral recomposição do saldo da conta corrente de meu cliente. Não admitiremos desculpas esfarrapadas ou tentativas de imputar a culpa ao consumidor. A falha de segurança é patente e a incapacidade de proteger o patrimônio de seus correntistas é um descrédito para qualquer instituição financeira que se preze.

O [Nome da Instituição Financeira, ex: Banco Ágil] tem a obrigação legal e moral de garantir a segurança dos fundos depositados em suas contas. A negligência demonstrada neste caso é inaceitável e coloca em xeque a reputação e a confiabilidade de seus serviços. Esteja ciente de que não hesitarei em tomar todas as medidas cabíveis para garantir que meu cliente seja devidamente ressarcido e que sua instituição seja responsabilizada por este grave incidente. A paciência esgotou-se. A resolução deve ser imediata e completa.",Conta Corrente,Em análise,Fraude/Segurança
REC-2026-00016,2026-04-09,Banco Central,"Banco Central, fui vítima de fraude em empréstimo e exijo providência já, senão a parada vai pro judicial e vocês vão ter que resolver essa bronca.",Empréstimo,Aberta,Fraude/Segurança
REC-2026-00017,2026-04-21,Redes Sociais,"Absurdo ter que vir aqui reclamar! Como cliente de longa data e com o volume de negócios que tenho com vocês, é inaceitável essa cobrança indevida no meu empréstimo. Espero que resolvam essa palhaçada imediatamente, sem eu ter que perder mais tempo com isso. Exijo que corrijam e me deem um retorno urgente.",Empréstimo,Em análise,Cobrança Indevida
REC-2026-00018,2026-02-21,Ouvidoria,Exijo explicações urgentes sobre a fraude no meu cartão de crédito! Estou em uma situação insustentável e a responsabilidade por esta falha recai sobre vocês.,Cartão de Crédito,Em análise,Fraude/Segurança
REC-2026-00019,2026-12-29,Ouvidoria,"Ouvidoria, pelo amor de Deus, esse meu cartão de crédito novo não funciona direito. Toda hora aparece uma mensagem esquisita no celular sobre ""atualizar dados"" ou ""validar token"" e eu não sei o que é isso, só sei que não consigo mais fazer minhas compras em paz. Eu só queria que meu cartão funcionasse como antes, sem tanta complicação de internet. Me ajudem a fazer essa tecnologia parar de me atrapalhar!",Cartão de Crédito,Em análise,Produto/Serviço
REC-2026-00020,2026-12-24,Ouvidoria,"Eu não aguento mais essa cobrança indevida do empréstimo! Já paguei essa porcaria e vocês continuam me infernizando. Resolvam isso logo, que eu não tenho tempo pra essa palhaçada!",Empréstimo,Resolvida,Cobrança Indevida
REC-2026-00021,2026-10-21,Banco Central,"Exijo solução imediata para falhas em minha conta corrente. Não havendo correção, acionarei Procon e processo judicial.",Conta Corrente,Em análise,Produto/Serviço
REC-2026-00022,2026-05-10,Redes Sociais,"Pegar empréstimo com vocês é mais fácil que arrumar sarna, só que pra pagar é que a coisa complica, né? Que beleza de 'ajuda'!",Empréstimo,Aberta,Produto/Serviço
REC-2026-00023,2026-10-23,SAC,"Meu atendimento do cartão hoje foi RIDÍCULO, estou em pânico e exijo que resolvam isso imediatamente para um cliente como eu!",Cartão de Crédito,Aberta,Atendimento
REC-2026-00024,2026-05-08,SAC,"SAC, é o seguinte, e espero que esta seja a *última* vez que preciso explicar algo tão básico para vocês. Estou aqui, um cliente que mantém um relacionamento duradouro e lucrativo com esta instituição, e me vejo obrigado a reclamar de uma cobrança totalmente indevida no meu empréstimo, número 123456789. Isso é inaceitável e, francamente, um insulto à minha inteligência e ao tempo que dedico aos meus negócios, não a resolver a ineficiência de vocês.

No dia 15 do mês passado, efetuei o pagamento da parcela referente ao meu empréstimo, no valor exato que me foi informado. Tenho o comprovante, a confirmação de pagamento, e inclusive o extrato bancário provando que o dinheiro saiu da minha conta e foi para a de vocês. Tudo certo, transação concluída. Imagine a minha surpresa, ou melhor, o meu *desgosto*, ao verificar o extrato desta semana e encontrar uma nova cobrança, sob a justificativa de ""atraso na parcela"" e juros adicionais. Atraso? Vocês estão de brincadeira, certo?

Eu não admito ser tratado com essa falta de profissionalismo. Pago minhas contas em dia, sou um cliente Platinum, Gold, o que quer que vocês chamem, e esperava no mínimo competência no processamento de pagamentos. Não é a primeira vez que algo assim acontece, mas desta vez, a cara de pau de lançar uma cobrança de atraso quando o pagamento foi feito pontualmente é demais. Não é possível que a equipe de vocês não consiga cruzar informações de forma correta. O que eu faço com o meu tempo vale bem mais do que ficar corrigindo erros primários de vocês.

Exijo que esta cobrança seja imediatamente estornada e que o meu registro seja atualizado para refletir o status correto do meu empréstimo: em dia, como sempre foi. Não vou ligar de novo, não vou mandar e-mail para mais ninguém. Vocês têm todas as informações no meu cadastro. Resolvam isso e me deem uma confirmação por escrito de que a situação está corrigida e que medidas serão tomadas para que um erro tão grotesco não se repita. Se não conseguem gerenciar um simples pagamento de empréstimo, talvez eu deva reconsiderar onde mantenho todo o meu capital. Para um cliente do meu perfil, a concorrência está sempre de portas abertas e muito mais disposta a oferecer um serviço que não me faça perder tempo com essas picuinhas. Espero um retorno rápido e eficaz.",Empréstimo,Resolvida,Cobrança Indevida
REC-2026-00025,2026-04-26,Redes Sociais,"Galera, serio mesmo, o atendimento de vocês ta horrível. É impossível resolver qualquer coisa, tudo demora demais e ninguém da retorno. A gente fica no vácuo, parece que não se importam. Melhorem a comunicação urgente!",,Em análise,Outros
REC-2026-00026,2026-06-06,SAC,"Este documento formaliza uma queixa de natureza grave concernente à qualidade dos serviços de atendimento prestados por esta instituição. Minhas interações recentes com os canais designados para suporte e resolução de problemas têm sido, para dizer o mínimo, profundamente insatisfatórias, configurando um padrão de desrespeito e ineficiência que ultrapassa os limites da aceitabilidade para qualquer cidadão que busca meramente exercer seus direitos enquanto consumidor.

A problemática teve início em meados de outubro, quando tentei, pela via telefônica, obter uma simples informação a respeito de um extrato referente a uma movimentação específica. Fui imediatamente direcionado a um sistema de voz automatizado que, após inúmeras tentativas frustradas de identificação por dados que, aparentemente, não eram reconhecidos pela máquina, apresentou um menu de opções demasiadamente complexo. Cada seleção me remetia a outro submenu, e assim sucessivamente, em um ciclo que parecia concebido para impedir o contato humano. A sonoridade robótica, somada à velocidade imposta para a escolha de alternativas e à repetição exaustiva das mesmas mensagens, tornou a experiência exaustiva e inócua. Após aproximadamente quarenta e cinco minutos de uma odisséia digital, a ligação foi inexplicavelmente derrubada, sem que minha questão inicial fosse sequer compreendida, muito menos resolvida.

Em face da completa falha do canal telefônico, decidi recorrer à interface digital da instituição, acessível via navegador de internet em meu computador pessoal. A expectativa de clareza e autonomia foi rapidamente dissipada. O portal online, embora visualmente moderno, carece de uma arquitetura informacional lógica e intuitiva para um usuário que não seja versado nas nuances de navegação contemporânea. Botões de acesso a seções essenciais encontram-se ocultos ou mal sinalizados, e a proliferação de janelas pop-up irrelevantes obstrui a visualização do conteúdo principal, distraindo e confundindo. Após tentativas repetidas de localizar a área de ""minha conta"" ou ""fale conosco"", o sistema solicitou uma ""autenticação de dois fatores"" que, apesar de minhas diligências e do seguimento das instruções apresentadas na tela, não consegui configurar de modo adequado, resultando no bloqueio permanente do acesso. Tal complexidade é injustificável e impede o acesso a serviços básicos para uma parcela considerável de seus clientes, que não possuem a mesma familiaridade com estas tecnologias.

Esta sucessão de obstáculos não representa um incidente isolado, mas sim um reflexo de uma política de atendimento que se mostra deliberadamente evasiva e impessoal. O custo temporal e psicológico de cada interação frustrada é inaceitável. A instituição tem a obrigação de prover canais de comunicação eficientes e acessíveis a todos os seus clientes, sem distinção de idade ou familiaridade com ferramentas digitais complexas. A substituição do contato humano por sistemas automatizados falhos, desprovidos de inteligência para compreender as necessidades individuais e sem a devida alternativa de atendimento presencial ou simplificado, configura um grave desrespeito ao consumidor.

É imperativo que esta situação seja retificada com a máxima urgência. A persistência deste modelo de atendimento, que privilegia a automação ineficaz em detrimento da assistência humana competente, é não apenas frustrante, mas configura uma violação direta dos direitos do consumidor à prestação de serviço adequado, conforme preconiza a legislação vigente. Caso não receba uma resposta satisfatória e uma solução concreta para os problemas aqui expostos em um prazo razoável, não hesitarei em escalar esta queixa aos órgãos reguladores competentes, notadamente o PROCON, e a iniciar as medidas judiciais cabíveis para garantir a reparação dos danos morais e materiais decorrentes da negligência e do descaso demonstrados por esta instituição. Exijo um canal direto de comunicação que me permita resolver minhas pendências sem a necessidade de navegar por labirintos digitais ou vocais que, claramente, não são projetados para o cidadão comum.

Antônio Pereira da Silva",,Resolvida,Atendimento
